metric_category,metric_name,definition,why_it_matters_for_new_founder,how_to_estimate_with_no_financials,typical_benchmark_or_rule_of_thumb,recommended_use_in_allocation_model
Cost structure,Fixed costs,"Costs that do not change with short‑term output (e.g., founder salary, core software subscriptions, office rent).","Determines burn rate floor and runway; even with zero revenue these costs must be covered, so they cap how long the experiment can run.","List all recurring monthly expenses (tools, infra, minimal compensation) and sum them to a monthly figure; cross‑check against invoices and bank statements when available.","For very early, a lean software startup often targets fixed costs under 10–20k per month for a 2–3 person team in developed markets.",Use to compute burn and runway; penalise founders whose fixed costs are high relative to expected pace of learning or milestone scope.
Cost structure,Variable cost per unit,"Incremental cost directly tied to one additional unit of output (e.g., cloud usage per active user, payment processing fee, per‑shipment logistics).",Shapes gross margin and scaling potential; low variable cost gives more operating leverage once revenue appears.,"Identify unit (user, order, API call). Estimate direct costs per unit from vendor price sheets, cloud calculators, or pilot data; refine as usage data arrives.","For many software products, target variable cost under 20–30% of revenue per unit to allow healthy gross margins later.",Use to approximate gross margin bands (high/medium/low) and to favour models that can scale without linear cost growth.
Cost structure,Marginal cost,"Total cost of serving one additional unit of demand, often similar to variable cost in early software startups.",Indicates scalability; near‑zero marginal cost suggests strong economics once product‑market fit is found.,"Combine direct variable cost (cloud, payments) plus any labour that scales with volume (support per active cohort); divide incremental cost by incremental units.",Digital products often approach marginal cost near zero after infrastructure is in place; physical or services businesses tend to have higher marginal cost.,"Tag businesses with structurally low marginal cost as higher upside within the portfolio, all else equal."
Revenue,Run‑rate revenue (if any),Current monthly or quarterly revenue extrapolated to an annualised figure.,Even tiny real revenue is a powerful signal of willingness to pay and execution; differentiates projects from businesses.,"If there is any recurring revenue, multiply latest month by 12 to get ARR; for non‑recurring, annualise based on last 3–6 months’ average.","At pre‑seed, many funds treat even 1–5k monthly recurring revenue as meaningful traction if customer quality is good.","Use as a soft uplift to the Market/Traction axis, not a hard requirement; do not penalise zero revenue in clearly pre‑revenue categories."
Revenue,Revenue model clarity,"How clearly the founder can explain who pays, for what, and on what cadence (subscription, usage, one‑off, marketplace take rate).","A clear, testable revenue model reduces go‑to‑market risk even before dollars are booked.",Ask for a one‑sentence revenue model description and a simple example invoice; stress‑test with 2–3 pricing scenarios in a lightweight spreadsheet.,"Simple, standard models (SaaS, usage‑based, transactional) are usually lower risk than complex multi‑sided pricing for first‑time founders.","Score higher when the revenue model is standard, easy to test with small pilots, and aligned with how the target customer already buys."
Unit economics,Unit contribution (per customer or order),"Revenue per unit minus direct variable costs associated with that unit, before fixed costs.","Shows whether each incremental unit is directionally value‑creating, even if the company is loss‑making overall at small scale.","For the main unit (seat, workspace, shipment), estimate average price and subtract payment fees, hosting cost, and any per‑unit labour.",Healthy software businesses often target 70–80% gross margin over time; early pilots may be lower.,Use rough contribution margin bands (negative/low/medium/high) as a risk flag; avoid models that only work with unrealistic scale assumptions.
Unit economics,Customer acquisition cost (CAC),"Average cost to acquire a paying customer, including paid marketing and sales effort.",Determines how efficiently capital turns into demand; high CAC with low lifetime value is a red flag for scalability.,"For early founders, use pilot experiments: total spend on campaigns or outreach hours valued at a simple hourly rate, divided by number of converted customers.","In many SaaS and consumer internet categories, a payback period under 12–18 months on CAC is considered healthy once the model matures.",Use as directional only at 0‑investment stage; treat extremely high CAC in pilots as evidence to push for model or channel changes before scaling.
Profitability,EBITDA (directional),"Earnings before interest, tax, depreciation, and amortisation; proxy for operating profit.",Shows whether the current plan is structurally high‑burn or can approach break‑even at modest scale; informs how much runway 100k meaningfully buys.,"For very early teams, model a simple 12‑month P&L using estimated revenue, fixed costs, and variable costs; compute EBITDA as revenue minus operating expenses.",Most venture‑backed companies are expected to be EBITDA‑negative at seed; the question is whether burn is buying validated learning and durable assets.,Use scenario analysis (base/bull/bear) to see how far a 100k check moves EBITDA towards break‑even under realistic assumptions.
Profitability,Net profit (directional),"Bottom‑line profit after all expenses, interest, and taxes.",At 0‑investment stage this is almost always negative; the main value is in understanding how losses scale with activity and what break‑even might look like.,Use the same rough P&L as for EBITDA but subtract any financing costs if present; taxes can usually be ignored until profitability is plausible.,New ventures are typically loss‑making for several years; the key is that the path to net profit is plausible and not purely dependent on unrealistic pricing or volume.,"Treat persistent, structurally unfixable negative net margin models as low‑priority for allocation, especially if capital intensity is high."
Runway & burn,Monthly burn,Net cash outflow per month (cash expenses minus cash inflows).,"Determines how long the company can survive and experiment before needing more capital; crucial for small, fast checks.",Sum all expected monthly cash expenses and subtract realistic cash inflows (if any); do not include non‑cash items.,"For a 100k check, many early‑stage investors prefer burn that provides 12–18 months of runway to reach the next meaningful milestone.",Use burn to check whether the requested allocation is sized appropriately for the stated milestone plan; penalise plans that consume capital in under 6–9 months without clear inflection.
Runway & burn,Runway months,Number of months the company can operate at current or planned burn before cash is exhausted.,Links check size directly to time for learning and execution; too little runway increases financing and shutdown risk.,Divide available cash (existing plus proposed investment) by estimated monthly burn; create base and worst‑case variants.,"A common target is 12–18 months of runway per round for seed‑stage companies, with some preferring slightly shorter but more frequent top‑ups.","Use as a hard constraint in allocation rules: e.g., avoid allocations that yield under 9 months runway unless upside is exceptional and follow‑on capital is very likely."
Capital efficiency,Milestones per 100k invested,Qualitative measure of how many concrete learning or traction milestones a team can hit with a fixed amount of capital.,"Critical for founders with no track record: it indicates discipline and planning, even without historical financials.","Ask founders to list 3–5 specific milestones (e.g., ship beta, close 10 pilots, reach 1k MAU) and estimate cost and time for each; cross‑check against burn and runway estimates.",Well‑planned early teams often map 100k to at least one major learning milestone and one early traction milestone.,Use as a qualitative score feeding into the Idea‑vs‑Market and Founder axes: prioritise teams who can clearly articulate milestone‑per‑dollar thinking.
